area,bbox,com,perimeter,centroid,cm_11,cm_20,cm_02,orientation,class
465,"[[0, 343], [7, 424]]","[0.00528169014084507, 0.5026041666666666]",168.0,"[0.3309139784946237, 0.5195121951219512]",53932.903659587726,4990.009450629842,1030008.2922159849,-0.052423583779959704,svar
244,"[[0, 585], [8, 619]]","[0.00528169014084507, 0.7838541666666666]",79.0,"[0.35974499089253187, 0.4895784543325527]",13016.682640111503,3803.661736262646,87066.33173285589,-0.15151782364683333,svar
6808,"[[0, 467], [117, 632]]","[0.10211267605633803, 0.71875]",1274.0,"[0.4833913541315579, 0.5115673809375338]",38070241.641505286,30389742.224037964,61643324.638671875,-0.5906472855557924,svar
1015,"[[28, 330], [65, 374]]","[0.07570422535211267, 0.4557291666666667]",139.0,"[0.40292973813844957, 0.45510673234811166]",310134.8674213249,291983.77836428897,535091.320034449,-0.5986294225447399,svar
116,"[[63, 306], [75, 340]]","[0.12147887323943662, 0.4205729166666667]",73.0,"[0.4270557029177719, 0.4827586206896552]",13804.978974105043,4681.247036798255,41793.87242974175,-0.31980910157966597,svar
331,"[[88, 446], [100, 495]]","[0.16725352112676056, 0.6158854166666666]",113.0,"[0.5682082268184987, 0.5494259818731118]",59797.41986914982,20614.38958973918,285298.0610266796,-0.21219177491538763,svar
627,"[[109, 413], [139, 449]]","[0.21654929577464788, 0.5611979166666666]",101.0,"[0.45408242012656275, 0.4796327427906375]",124478.52061097049,149194.87411661886,245879.5708872489,-0.6001827184368045,svar
67008,"[[0, 420], [405, 761]]","[0.38028169014084506, 0.8450520833333334]",4079.0,"[0.4948231838495637, 0.6267749640891557]",3216380967.6823583,3860638432.46669,4068302335.228785,-0.7692626518186761,svar
450,"[[184, 0], [221, 54]]","[0.3644366197183099, 0.028645833333333332]",190.0,"[0.5937426900584795, 0.3960404040404041]",249286.6489234889,238862.51632240717,329330.79634602874,-0.6956475326376017,svar
6699,"[[260, 347], [352, 442]]","[0.5422535211267606, 0.51171875]",341.0,"[0.5112892015080028, 0.4843315584351107]",13892893.890019808,18379405.303808838,17991797.547027588,0.7784236874503342,svar
1009,"[[262, 234], [313, 294]]","[0.5035211267605634, 0.3424479166666667]",236.0,"[0.4621292978577418, 0.48211993696079547]",703261.1610777952,753737.0618056906,1077470.7270524816,-0.6722851260058935,svar
84,"[[306, 59], [314, 72]]","[0.545774647887324, 0.08463541666666667]",36.0,"[0.4312169312169312, 0.4549319727891156]",2044.2995341842723,1323.1760067446928,4387.041809082032,-0.4638498715418887,svar
338641,"[[0, 1], [561, 761]]","[0.522887323943662, 0.42578125]",6066.0,"[0.38617972236726417, 0.767167449150414]",10584690958.54985,5352596838.813659,32362371425.323486,-0.33238218562785465,svar
928,"[[370, 351], [407, 401]]","[0.6883802816901409, 0.4869791666666667]",200.0,"[0.5445780399274047, 0.4537060513860717]",455249.5528169016,443014.43909938546,641773.2667100691,-0.6779356979381572,svar
956,"[[431, 22], [463, 88]]","[0.7852112676056338, 0.0703125]",149.0,"[0.4609800938252821, 0.4816399175669768]",539748.4586267608,256497.77330886712,1272496.4450683594,-0.4078455752691506,svar
67,"[[468, 0], [494, 8]]","[0.8485915492957746, 0.0026041666666666665]",73.0,"[0.5063571033720288, 0.24046434494195687]",1967.7168702318074,12951.627492065069,634.245246039497,0.1546257705782749,svar
141,"[[497, 21], [513, 50]]","[0.8890845070422535, 0.04296875]",75.0,"[0.45598664997914057, 0.3891252955082742]",14482.988659496039,8714.917715359054,26266.807205200195,-0.5130072156881864,svar
127,"[[495, 220], [516, 242]]","[0.8926056338028169, 0.2981770833333333]",72.0,"[0.5476020042949177, 0.4101335159192057]",15204.249140349912,18733.81335238544,13516.859224107533,0.700444036949373,svar
1359,"[[506, 0], [561, 67]]","[0.9595070422535211, 0.036458333333333336]",474.0,"[0.6772715800100959, 0.4127104552068177]",1491267.9060390997,2195647.9962029997,1535299.2870822416,0.6764530813790849,svar
152,"[[546, 87], [557, 106]]","[0.971830985915493, 0.12760416666666666]",48.0,"[0.5148026315789473, 0.5266447368421052]",7837.127750880282,5179.458639158905,20156.88644748264,-0.4040639988875746,svar
1267,"[[36, 471], [76, 545]]","[0.09507042253521127, 0.6653645833333334]",228.0,"[0.44811057423912837, 0.5349855301236517]",1101554.6941342063,548349.3530425518,2434645.634960597,-0.4313577013003164,svar
1197,"[[82, 413], [120, 469]]","[0.1795774647887324, 0.578125]",198.0,"[0.5008032902769745, 0.5440355274150288]",753874.5501210378,565624.91783624,1290280.2277832031,-0.5613860336554146,svar
724,"[[132, 451], [152, 507]]","[0.25, 0.6236979166666666]",126.0,"[0.4941462772954485, 0.48366773286808185]",224225.0468749999,89627.75,692987.6145087348,-0.3195850812162308,svar
796,"[[157, 228], [182, 279]]","[0.2975352112676056, 0.3294270833333333]",119.0,"[0.46178005411673756, 0.4833059528411287]",266861.49432401697,137672.37962457858,628957.0060696071,-0.4133887512787315,svar
1793,"[[151, 0], [202, 69]]","[0.30985915492957744, 0.040364583333333336]",331.0,"[0.48001844780985886, 0.4481395904708788]",1370006.5706976235,1280251.657805992,2320390.228625814,-0.6039947273974313,svar
13189,"[[139, 295], [326, 455]]","[0.40669014084507044, 0.5013020833333334]",1461.0,"[0.48611392165176276, 0.5584773606985327]",114173832.92119637,131823894.70943269,125084709.20995493,0.7706460312254133,svar
820,"[[169, 95], [206, 141]]","[0.3204225352112676, 0.15104166666666666]",131.0,"[0.33825417201540436, 0.4512973533990659]",234012.59734448345,167767.68285062502,456779.5717230892,-0.5087993324741774,svar
203,"[[207, 0], [248, 29]]","[0.4084507042253521, 0.01171875]",173.0,"[0.5862068965517241, 0.2949096880131363]",51633.82388864435,135908.99365205318,30329.934127807617,0.38716555567600136,svar
315,"[[258, 156], [298, 211]]","[0.4859154929577465, 0.2421875]",168.0,"[0.4348432055749129, 0.5348072562358277]",202519.81827684847,127728.57305098232,341250.8825073242,-0.5428272118489238,svar
177,"[[293, 218], [312, 235]]","[0.5334507042253521, 0.2955729166666667]",58.0,"[0.5036723163841808, 0.504708097928437]",16129.112980945569,18931.083617461823,17050.90081278484,0.7562884097086688,svar
1020,"[[330, 624], [366, 680]]","[0.6109154929577465, 0.8528645833333334]",164.0,"[0.4677000529941706, 0.5459924320605435]",580907.6345822328,361549.14336193434,1154783.25889079,-0.4858694095003326,svar
331,"[[386, 325], [409, 345]]","[0.704225352112676, 0.4361979166666667]",74.0,"[0.5770392749244713, 0.49374190763918857]",41442.24446156102,66693.8159095418,42006.91641404896,0.6406579478218704,svar
683,"[[389, 282], [421, 317]]","[0.7165492957746479, 0.390625]",104.0,"[0.5395092949997782, 0.4908898649747845]",200813.42311289615,246348.20262286768,241950.53002929688,0.77992355818261,svar
80248,"[[0, 140], [409, 620]]","[0.3714788732394366, 0.5768229166666666]",5893.0,"[0.5123092646630402, 0.6326143909118258]",5218743679.74104,4729862740.593903,8093331264.507587,-0.6295273690130996,super
821,"[[98, 2], [129, 48]]","[0.20246478873239437, 0.037760416666666664]",130.0,"[0.5467037149817296, 0.5737942830486952]",380010.1509201694,287336.6509032179,685718.063851251,-0.5439992935231649,super
221,"[[95, 600], [134, 634]]","[0.19718309859154928, 0.7981770833333334]",119.0,"[0.4294117647058823, 0.3850032320620556]",30263.69105780517,83427.57865502874,54218.85344272204,0.5605946705075904,super
985,"[[107, 539], [147, 571]]","[0.22183098591549297, 0.7213541666666666]",111.0,"[0.46834220626470224, 0.44780802953391785]",246835.95388607692,459845.0483163074,256050.48405626224,0.5896463143431775,super
63,"[[215, 622], [225, 629]]","[0.3873239436619718, 0.8151041666666666]",32.0,"[0.4906204906204907, 0.498015873015873]",872.5359631748826,2094.070968061892,887.6745808919273,0.48296113200892943,super
3828,"[[237, 50], [349, 130]]","[0.5123239436619719, 0.11588541666666667]",491.0,"[0.4805862831858407, 0.4788933899176955]",8765172.489876762,13367601.935330186,7104591.144531194,0.6138312206766436,super
77,"[[301, 149], [317, 157]]","[0.5440140845070423, 0.19921875]",48.0,"[0.4935064935064935, 0.4401154401154401]",2636.725482779489,6595.922054775839,1428.5325469970703,0.397778069834805,super
884,"[[307, 717], [341, 761]]","[0.5721830985915493, 0.96484375]",124.0,"[0.5107627666451195, 0.5324534942182001]",373897.19148877636,331635.9968384252,544995.225402832,-0.6464315226991276,super
165,"[[322, 26], [334, 52]]","[0.5774647887323944, 0.049479166666666664]",65.0,"[0.4764568764568765, 0.4282828282828283]",9081.34393339202,6342.683792898232,30903.59145100908,-0.31837222546389665,super
74169,"[[108, 207], [451, 556]]","[0.5440140845070423, 0.5]",1445.0,"[0.5854611728651812, 0.5050217918327249]",2635006339.560743,3431179400.7443533,2818552234.75,0.7275340009256237,super
110,"[[111, 664], [126, 675]]","[0.20774647887323944, 0.87109375]",42.0,"[0.43977272727272726, 0.4568181818181818]",2862.4086432658464,6823.155896647491,3219.929412841797,0.5045179540780647,super
63,"[[194, 686], [201, 697]]","[0.3485915492957746, 0.9010416666666666]",33.0,"[0.4801587301587302, 0.5198412698412699]",1078.73945495892,1058.937202439992,2249.929443359375,-0.5331981048560798,super
77,"[[440, 352], [451, 363]]","[0.7852112676056338, 0.4661458333333333]",40.0,"[0.48701298701298706, 0.4816017316017316]",1623.999128887911,2574.7847277325927,2984.8616875542552,-0.7226027733016138,super
388265,"[[0, 1], [561, 761]]","[0.5052816901408451, 0.5]",1675.0,"[0.39359226523997426, 0.4567826501821046]",3212169741.8160167,2157993040.2724175,5031480370.75,-0.5751027593705338,para
39176,"[[85, 145], [382, 521]]","[0.3890845070422535, 0.453125]",1596.0,"[0.45661713513135693, 0.5390866843717991]",1283161844.758364,967768414.9211258,1911351383.5488281,-0.6092297938913033,para
819,"[[0, 93], [22, 177]]","[0.014084507042253521, 0.18880208333333334]",178.0,"[0.33248394117959335, 0.6096674567262803]",392549.93577611493,75486.73993255298,2665262.9182179784,-0.14717372650857777,para
269,"[[0, 241], [7, 289]]","[0.0035211267605633804, 0.34765625]",106.0,"[0.30111524163568776, 0.5336469160154769]",17842.28043849031,2439.439954870069,224999.68452453613,-0.07949173898564987,para
275,"[[4, 331], [23, 349]]","[0.02464788732394366, 0.4427083333333333]",55.0,"[0.496, 0.4809569377990431]",24217.352277728874,32989.688194306655,26899.845350477404,0.7228598154938575,para
903,"[[33, 559], [66, 596]]","[0.08626760563380281, 0.7513020833333334]",106.0,"[0.47840531561461797, 0.47980416156670747]",272174.0913085938,297204.5230330042,352464.82770283957,-0.7348132238585481,para
639,"[[38, 729], [64, 761]]","[0.09330985915492958, 0.96875]",99.0,"[0.5488320871732453, 0.45506710295442687]",143738.26656029932,165711.46148767666,175761.4365234375,-0.7679256348960518,para
89,"[[47, 310], [54, 322]]","[0.0880281690140845, 0.4114583333333333]",36.0,"[0.43679775280898875, 0.45116681071737247]",1572.309327318075,1446.9361361832973,3645.5050184461816,-0.48031959555266807,para
170,"[[64, 93], [82, 125]]","[0.12852112676056338, 0.14322916666666666]",96.0,"[0.4984520123839009, 0.5146167557932263]",20521.48990426936,18580.969977435045,65147.48227267805,-0.3612171544907425,para
119,"[[69, 507], [77, 524]]","[0.12852112676056338, 0.6705729166666666]",46.0,"[0.43977591036414565, 0.4365079365079365]",3415.248654361062,2271.8987025143824,8922.539142184785,-0.39936937179248283,para
87,"[[93, 473], [99, 490]]","[0.17077464788732394, 0.62890625]",44.0,"[0.5188834154351396, 0.5427841634738186]",2515.4510824713902,1310.6076888266205,9293.269882202148,-0.28117519412249237,para
831,"[[98, 7], [126, 47]]","[0.198943661971831, 0.03515625]",108.0,"[0.5298560106228474, 0.491297584455989]",245513.78399400308,231329.2665610745,420877.0661468506,-0.6011985448892039,para
1994,"[[115, 124], [154, 214]]","[0.23767605633802816, 0.22265625]",280.0,"[0.4912111334002006, 0.5113692726531242]",1790299.112112115,918407.8204535353,5769432.307281494,-0.317924559523394,para
1979,"[[136, 230], [207, 307]]","[0.29577464788732394, 0.3502604166666667]",360.0,"[0.44430408174723485, 0.5033492698980319]",2981612.6356917555,2919367.3253322802,3782397.720681103,-0.7135344113877595,para
2652,"[[156, 319], [197, 451]]","[0.31161971830985913, 0.4986979166666667]",336.0,"[0.5108274078862314, 0.477503147007791]",3575935.289805236,1368000.4498983352,14775156.152933933,-0.24501894820835457,para
1368,"[[194, 560], [227, 616]]","[0.3714788732394366, 0.7643229166666666]",154.0,"[0.4937220502235982, 0.47377398173797064]",547801.9605156985,456821.49759472173,1238367.4082438124,-0.4755843064914505,para
2528,"[[196, 15], [253, 141]]","[0.3890845070422535, 0.10286458333333333]",332.0,"[0.42664911610650375, 0.5049555217781322]",4921553.28724692,1976477.7866990517,14326869.14230694,-0.336450651705012,para
20344,"[[211, 355], [340, 620]]","[0.4841549295774648, 0.6380208333333334]",979.0,"[0.47966558043020807, 0.5184881133304386]",187214114.3151036,99159004.1420868,508600058.83025634,-0.37038058433387644,para
104,"[[226, 750], [235, 761]]","[0.40669014084507044, 0.984375]",40.0,"[0.4509615384615385, 0.48717948717948717]",2159.6954225352106,2440.7259224360255,3651.775390625,-0.6487199321904673,para
989,"[[238, 159], [266, 207]]","[0.44366197183098594, 0.23958333333333334]",119.0,"[0.4999128342805341, 0.5083262829904459]",358819.8099325117,245792.22004562608,731208.9771050363,-0.48804020688700467,para
1109,"[[261, 259], [288, 326]]","[0.4823943661971831, 0.3841145833333333]",152.0,"[0.47771480097900293, 0.5227152177372301]",566921.0325841769,233170.39303957619,1676181.8007897225,-0.3329947707757436,para
534,"[[280, 1], [308, 24]]","[0.5193661971830986, 0.014322916666666666]",85.0,"[0.5184037194885703, 0.4210362047440699]",85413.48796489878,141091.09816380663,75255.53663126631,0.6014725271843775,para
957,"[[327, 655], [351, 706]]","[0.596830985915493, 0.88671875]",119.0,"[0.47611285266457676, 0.4929065187685877]",292935.1841783118,158230.88679391457,752942.8120880127,-0.3889545771052125,para
3187,"[[356, 345], [403, 474]]","[0.6672535211267606, 0.5377604166666666]",331.0,"[0.4842393578077607, 0.5197026381212135]",5082015.195360642,1964147.661113238,18147076.641837317,-0.28040235812059255,para
1264,"[[364, 38], [414, 88]]","[0.670774647887324, 0.08333333333333333]",195.0,"[0.3329920575825267, 0.516024447753785]",594575.502934273,539311.0252430075,1073297.611111115,-0.574366936634449,para
382084,"[[0, 0], [561, 761]]","[0.5, 0.4908854166666667]",4913.0,"[0.44752207650990206, 0.5312067956954105]",4850299146.415999,3276927041.75,8972059003.158772,-0.5199614842050333,para
726,"[[398, 599], [417, 658]]","[0.7183098591549296, 0.8177083333333334]",143.0,"[0.5117768595041323, 0.49088613406795223]",203923.41879401403,80008.07240626859,748154.3230794286,-0.27402139454000185,para
92,"[[400, 676], [414, 691]]","[0.7130281690140845, 0.8893229166666666]",52.0,"[0.3057971014492754, 0.44904891304347827]",2466.732440214202,2362.9778689744107,5076.0774671766485,-0.5340003753758528,para
733,"[[403, 704], [427, 761]]","[0.727112676056338, 0.94921875]",176.0,"[0.38368349249658934, 0.4332219974596604]",132562.99022749785,81219.87340371452,630451.0230255127,-0.22486497259089783,para
326,"[[526, 743], [561, 761]]","[0.9595070422535211, 0.98046875]",167.0,"[0.5366394001363326, 0.5092024539877301]",49608.41253576142,144540.18242288232,35970.59310913086,0.3702085458932904,para
892,"[[0, 90], [30, 128]]","[0.02640845070422535, 0.13932291666666666]",120.0,"[0.4957688413134674, 0.44161779924111766]",259434.59104496767,270185.5551849826,344523.4785630965,-0.7142477862526283,cyl
622,"[[0, 132], [29, 190]]","[0.02112676056338028, 0.21354166666666666]",207.0,"[0.3865487674169346, 0.5507657093029593]",292975.51599178405,126430.50297560025,789442.1548936637,-0.36188829065878797,cyl
912,"[[0, 341], [25, 385]]","[0.01936619718309859, 0.4713541666666667]",118.0,"[0.42780026990553305, 0.46435185185185185]",197034.8467576291,150293.44063677822,511714.4306640599,-0.41429326049822923,cyl
594,"[[0, 424], [19, 468]]","[0.01232394366197183, 0.5846354166666666]",106.0,"[0.36893939393939396, 0.5581369248035914]",114173.96183153611,47637.05852633416,423749.6767883291,-0.2728215379804466,cyl
785,"[[43, 141], [65, 185]]","[0.09330985915492958, 0.21484375]",111.0,"[0.42193298255330935, 0.5266808209483369]",189380.02730936397,97453.1657688208,546450.8979644775,-0.35037400044326333,cyl
790,"[[66, 502], [92, 543]]","[0.13732394366197184, 0.6809895833333334]",107.0,"[0.45836849507735583, 0.4989752863170585]",222175.30741087144,155578.6653193809,413233.4328986269,-0.5226640218660594,cyl
425,"[[145, 1], [174, 21]]","[0.27992957746478875, 0.01171875]",91.0,"[0.4545098039215686, 0.35921568627450984]",41831.02979891065,100587.91943872758,34472.917739868164,0.4510105267377016,cyl
901,"[[147, 48], [183, 86]]","[0.29225352112676056, 0.08854166666666667]",143.0,"[0.5030146683864775, 0.5011810239335212]",315203.6828601822,368990.35772911995,415213.4489203544,-0.7488023643792148,cyl
3905,"[[172, 146], [246, 236]]","[0.36971830985915494, 0.25]",307.0,"[0.5051609048228767, 0.5065188332793966]",5936873.610035214,6636011.872359139,10234065.0625,-0.6382828874677393,cyl
19727,"[[192, 284], [310, 544]]","[0.4471830985915493, 0.5390625]",1078.0,"[0.5190892038322699, 0.4986327177797921]",170958293.38669148,91140434.50515188,411057187.46136475,-0.4093133371161676,cyl
1728,"[[280, 688], [326, 761]]","[0.5334507042253521, 0.94140625]",208.0,"[0.4900265957446808, 0.4692583208208208]",1532394.9954885545,1076769.1941083097,2767738.2685546875,-0.5333088717478973,cyl
395664,"[[0, 0], [561, 761]]","[0.5035211267605634, 0.49609375]",2979.0,"[0.3868358974353313, 0.4936899018155969]",2860879331.854867,1765349140.3645058,5355021848.284866,-0.5052464648128435,cyl
383,"[[354, 543], [363, 608]]","[0.6320422535211268, 0.7473958333333334]",144.0,"[0.46553524804177543, 0.46589920088614606]",54479.75535046213,8144.13717206406,467128.7825453013,-0.11653901726678777,cyl
133,"[[362, 620], [368, 644]]","[0.6426056338028169, 0.8229166666666666]",57.0,"[0.3995703544575725, 0.4821052631578947]",3888.110016872066,1054.822694529855,22396.79568142361,-0.17470620475188717,cyl
271,"[[379, 708], [395, 734]]","[0.6795774647887324, 0.94140625]",69.0,"[0.42131538962448445, 0.5416154161541615]",28894.939521897017,16166.035000495936,63283.586654663086,-0.44339014169666124,cyl
771,"[[56, 726], [84, 761]]","[0.125, 0.96875]",100.0,"[0.5243078849680218, 0.5085026660902147]",185685.45703125,213460.296875,298329.6904296875,-0.6730622670076596,para
171,"[[70, 195], [81, 213]]","[0.13380281690140844, 0.2669270833333333]",51.0,"[0.47855750487329435, 0.510310864881502]",8543.139900601525,6836.272713747281,19381.053553263348,-0.46874141998079366,para
1041,"[[79, 545], [107, 601]]","[0.1637323943661972, 0.7552083333333334]",159.0,"[0.46818377554738483, 0.6175404890709002]",475117.96109338326,238873.52011319812,1409560.5256347647,-0.34091448180641165,para
2626,"[[92, 649], [139, 761]]","[0.20246478873239437, 0.9192708333333334]",407.0,"[0.48875031733942625, 0.5001314290721107]",3790759.7577299736,1760825.553418224,9986110.832912866,-0.37234676545488776,para
171,"[[157, 527], [179, 546]]","[0.2975352112676056, 0.6979166666666666]",71.0,"[0.5425883549453343, 0.4295321637426901]",11987.075575850939,32565.257869842302,15575.812825520856,0.4771420162452026,para
3883,"[[124, 192], [225, 325]]","[0.3204225352112676, 0.3229166666666667]",1035.0,"[0.4650688711893222, 0.5261861025670905]",31663873.87786092,31391169.90267318,64075683.63954293,-0.5471692881661837,para
420,"[[235, 257], [268, 286]]","[0.448943661971831, 0.3489583333333333]",192.0,"[0.4122058823529412, 0.5660000000000001]",153517.76892605636,180061.59573993276,215524.68815104204,-0.727902143235231,para
444,"[[248, 732], [301, 759]]","[0.477112676056338, 0.9739583333333334]",295.0,"[0.5188479678180052, 0.44753210272873195]",362556.3324897303,1028032.8305767734,215429.13053385448,0.36428135453024996,para
3953,"[[249, 1], [316, 86]]","[0.4982394366197183, 0.06510416666666667]",244.0,"[0.49579247332628973, 0.5648580118720548]",6464247.805361465,5454246.566830178,10833457.109164793,-0.5882551649296922,para
552,"[[278, 211], [297, 267]]","[0.5070422535211268, 0.3125]",265.0,"[0.43052721088435375, 0.4717746747821936]",147250.6294014083,63959.860146796214,617304.921875,-0.24454503661783022,para
99,"[[276, 715], [299, 724]]","[0.5105633802816901, 0.9361979166666666]",96.0,"[0.41489361702127664, 0.46028368794326247]",4592.6188517825685,20983.093198274142,3377.3968861897783,0.24043598358617746,para
126398,"[[0, 1], [423, 761]]","[0.43661971830985913, 0.4765625]",7923.0,"[0.5777265202882855, 0.4805110106929789]",12995897898.935862,9607015721.15221,23512376040.600037,-0.5397749058785177,para
141,"[[317, 21], [329, 33]]","[0.5686619718309859, 0.03515625]",40.0,"[0.48063284233497, 0.46590289143480634]",4626.208894971391,6178.613683420947,6676.127395629883,-0.758538424715203,para
355,"[[324, 296], [352, 322]]","[0.5897887323943662, 0.40234375]",169.0,"[0.5580083789880761, 0.4867601246105919]",76387.36903058979,136421.12659938517,105137.91766357422,0.6844107214144131,para
260,"[[348, 508], [374, 524]]","[0.6355633802816901, 0.6692708333333334]",126.0,"[0.4799925553694398, 0.5947383978717115]",21643.844442304864,48149.14830576778,22957.99093288845,0.5218782885855195,para
277334,"[[0, 0], [561, 761]]","[0.5299295774647887, 0.515625]",8424.0,"[0.4469532033435098, 0.47545386563613684]",13424987463.670067,10460232717.523403,23815579515.817627,-0.5546129131753764,para
2151,"[[402, 242], [460, 309]]","[0.7605633802816901, 0.3580729166666667]",215.0,"[0.5039437707333602, 0.48228594087565285]",2285382.8212844785,2298261.598293982,2717663.71755473,-0.7396475147676578,para
1769,"[[440, 121], [481, 190]]","[0.8098591549295775, 0.20703125]",223.0,"[0.48331652052455965, 0.5307907193295569]",1326477.9127695863,909247.9671196206,2952434.7916412354,-0.4572601983355326,para
293,"[[470, 104], [497, 142]]","[0.8538732394366197, 0.15494791666666666]",139.0,"[0.5344262295081967, 0.40563261874737283]",57828.23262131382,77734.22042067548,106123.07530551462,-0.6650483123957724,para
471,"[[486, 278], [515, 301]]","[0.8855633802816901, 0.375]",84.0,"[0.5571125265392781, 0.4056970983722576]",78070.21897007042,145569.05893857934,57270.734375,0.5280632276892162,para
